# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
2.583876394e-01 2.082614e-02 3.397402e-02 3.837397e-02 4.290952e-02 4.370384e-02 4.484315e-02 6.883918e-02 7.592144e-02 8.875415e-02 9.428366e-02 9.746896e-02 1.506052e-01 1.866940e-01 2.178472e-01 2.432332e-01 2.561388e-01 3.675553e-01 4.803252e-01 6.058557e-01 7.639153e-01 9.629791e-01 1.238364e+00 1.712267e+00 2.694075e+00 9.129597e+00 
2.638986774e-01 2.136050e-02 2.229940e-02 2.663098e-02 2.824291e-02 3.423052e-02 3.596959e-02 5.791066e-02 6.930197e-02 8.210126e-02 9.068472e-02 9.390718e-02 1.488532e-01 1.857455e-01 2.179007e-01 2.413351e-01 2.531075e-01 3.628785e-01 4.736262e-01 6.099761e-01 7.690038e-01 9.651958e-01 1.240513e+00 1.670612e+00 2.709004e+00 9.377358e+00 
2.685683954e-01 1.308065e-02 2.770886e-02 3.567749e-02 3.999300e-02 4.113209e-02 4.160830e-02 7.125949e-02 8.486655e-02 9.269930e-02 1.015742e-01 1.054336e-01 1.494908e-01 1.882392e-01 2.184152e-01 2.430246e-01 2.533294e-01 3.693453e-01 4.799355e-01 6.117984e-01 7.697235e-01 9.658671e-01 1.235478e+00 1.686116e+00 2.645714e+00 9.317646e+00 
2.743876491e-01 1.902857e-02 2.813458e-02 3.093086e-02 3.694578e-02 4.276252e-02 4.293613e-02 6.938563e-02 8.485259e-02 9.298338e-02 1.033225e-01 1.069116e-01 1.589958e-01 1.879780e-01 2.168987e-01 2.413153e-01 2.526213e-01 3.672951e-01 4.867715e-01 6.080680e-01 7.687566e-01 9.642632e-01 1.243894e+00 1.680962e+00 2.648345e+00 9.315322e+00 
2.804784976e-01 2.087008e-02 2.761457e-02 3.012216e-02 4.066751e-02 4.175776e-02 4.338950e-02 6.624336e-02 8.054976e-02 9.317873e-02 1.027213e-01 1.044791e-01 1.538895e-01 1.857143e-01 2.140986e-01 2.412878e-01 2.527583e-01 3.645438e-01 4.767356e-01 6.064564e-01 7.670834e-01 9.623882e-01 1.253006e+00 1.708940e+00 2.667764e+00 9.300067e+00 
2.869283084e-01 8.191255e-03 2.801845e-02 3.243672e-02 3.416064e-02 3.816236e-02 4.104575e-02 6.474421e-02 8.034177e-02 8.819868e-02 9.936940e-02 1.054453e-01 1.545581e-01 1.889297e-01 2.155058e-01 2.410470e-01 2.525613e-01 3.609659e-01 4.757627e-01 6.034082e-01 7.638538e-01 9.737408e-01 1.255288e+00 1.729860e+00 2.740987e+00 8.941278e+00 
2.915625538e-01 8.155208e-03 2.631147e-02 2.796538e-02 3.040000e-02 3.430703e-02 3.861745e-02 6.346040e-02 7.167627e-02 8.019812e-02 9.375259e-02 9.823439e-02 1.523609e-01 1.882470e-01 2.151679e-01 2.381830e-01 2.479557e-01 3.597433e-01 4.733364e-01 5.998039e-01 7.633870e-01 9.703867e-01 1.251046e+00 1.706041e+00 2.680242e+00 9.425904e+00 
2.975550104e-01 1.609679e-02 2.333927e-02 2.862301e-02 3.550873e-02 4.100235e-02 4.118514e-02 6.429603e-02 7.310868e-02 8.354649e-02 9.473293e-02 9.759472e-02 1.509851e-01 1.860286e-01 2.141361e-01 2.410786e-01 2.545364e-01 3.658890e-01 4.785997e-01 6.015024e-01 7.631637e-01 9.684249e-01 1.252654e+00 1.730423e+00 2.721826e+00 9.112730e+00 
3.018806942e-01 2.351707e-02 3.306049e-02 3.777751e-02 4.418151e-02 4.661687e-02 4.824553e-02 6.375315e-02 7.704255e-02 8.689248e-02 9.239859e-02 9.632265e-02 1.524950e-01 1.848119e-01 2.145782e-01 2.398799e-01 2.513682e-01 3.626603e-01 4.777267e-01 6.067805e-01 7.629201e-01 9.705885e-01 1.247105e+00 1.723912e+00 2.691704e+00 1.032832e+01 
3.056549084e-01 1.641977e-02 2.154172e-02 3.053348e-02 3.318103e-02 3.957553e-02 4.660315e-02 6.768540e-02 8.061038e-02 8.867338e-02 9.626933e-02 9.909957e-02 1.518768e-01 1.830486e-01 2.128745e-01 2.374662e-01 2.481586e-01 3.622822e-01 4.751735e-01 6.011396e-01 7.650723e-01 9.677920e-01 1.242219e+00 1.719713e+00 2.742040e+00 1.012679e+01 
