# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
1.474565012e-03 4.975028e-02 6.765814e-02 8.074423e-02 9.192147e-02 9.467410e-02 9.701463e-02 1.470391e-01 1.703490e-01 1.843997e-01 1.993599e-01 2.064163e-01 2.842590e-01 3.330631e-01 3.798664e-01 4.169221e-01 4.363046e-01 5.873373e-01 7.267363e-01 8.700413e-01 1.037912e+00 1.234810e+00 1.475576e+00 1.809117e+00 2.318261e+00 3.608254e+00 
1.562901802e-03 4.558201e-02 6.603054e-02 8.503573e-02 9.660370e-02 1.013625e-01 1.041021e-01 1.483532e-01 1.734879e-01 1.880899e-01 2.024659e-01 2.082508e-01 2.901508e-01 3.443548e-01 3.882613e-01 4.260145e-01 4.417071e-01 5.918374e-01 7.317212e-01 8.735940e-01 1.041572e+00 1.232652e+00 1.479479e+00 1.807808e+00 2.325777e+00 3.613749e+00 
1.640967884e-03 6.152851e-02 8.324381e-02 9.362611e-02 1.030975e-01 1.132746e-01 1.158573e-01 1.626236e-01 1.839361e-01 1.988894e-01 2.079328e-01 2.145319e-01 2.977595e-01 3.488615e-01 3.921173e-01 4.313793e-01 4.499477e-01 5.980380e-01 7.414205e-01 8.876089e-01 1.044695e+00 1.244032e+00 1.493832e+00 1.804915e+00 2.303296e+00 3.617188e+00 
1.747616631e-03 5.583767e-02 7.212043e-02 7.599348e-02 8.485317e-02 9.181506e-02 1.018609e-01 1.511982e-01 1.766921e-01 1.961412e-01 2.096421e-01 2.158787e-01 2.967568e-01 3.495060e-01 3.936877e-01 4.329891e-01 4.475440e-01 5.961236e-01 7.431486e-01 8.891556e-01 1.056965e+00 1.254376e+00 1.503113e+00 1.832737e+00 2.356436e+00 3.667855e+00 
1.868409619e-03 5.631041e-02 8.377608e-02 9.017771e-02 1.036525e-01 1.067670e-01 1.106828e-01 1.563369e-01 1.796331e-01 1.948250e-01 2.064202e-01 2.140226e-01 3.026679e-01 3.545508e-01 3.984294e-01 4.316581e-01 4.493643e-01 6.061496e-01 7.508581e-01 8.935237e-01 1.063116e+00 1.265091e+00 1.510426e+00 1.841079e+00 2.356599e+00 3.669546e+00 
1.976548952e-03 6.409272e-02 8.399852e-02 9.448415e-02 1.083901e-01 1.165555e-01 1.192775e-01 1.544184e-01 1.797624e-01 2.002096e-01 2.087540e-01 2.145302e-01 3.021214e-01 3.526058e-01 3.945765e-01 4.353969e-01 4.535556e-01 6.034412e-01 7.514582e-01 9.001919e-01 1.073102e+00 1.269631e+00 1.503229e+00 1.828650e+00 2.360939e+00 3.669742e+00 
2.052858373e-03 6.067418e-02 7.737188e-02 7.949255e-02 8.091185e-02 8.185809e-02 8.672313e-02 1.495590e-01 1.772540e-01 1.946892e-01 2.125874e-01 2.176313e-01 3.032073e-01 3.571643e-01 4.053352e-01 4.454829e-01 4.646004e-01 6.161280e-01 7.546973e-01 9.000922e-01 1.073072e+00 1.270866e+00 1.514986e+00 1.850296e+00 2.367027e+00 3.671140e+00 
2.130297074e-03 7.799198e-02 8.897430e-02 9.829951e-02 1.075690e-01 1.095849e-01 1.162632e-01 1.531119e-01 1.731055e-01 1.964722e-01 2.111899e-01 2.182497e-01 3.089283e-01 3.623120e-01 4.078016e-01 4.445492e-01 4.616190e-01 6.121477e-01 7.620950e-01 9.130060e-01 1.078089e+00 1.269902e+00 1.514842e+00 1.841042e+00 2.375934e+00 3.706751e+00 
2.225951391e-03 5.791435e-02 7.493369e-02 7.719049e-02 7.808010e-02 8.218798e-02 8.380716e-02 1.526369e-01 1.802831e-01 2.024539e-01 2.191114e-01 2.269892e-01 3.089678e-01 3.595166e-01 4.080613e-01 4.469605e-01 4.620231e-01 6.152868e-01 7.607182e-01 9.089148e-01 1.081772e+00 1.280529e+00 1.515256e+00 1.849604e+00 2.371617e+00 3.691312e+00 
2.328620073e-03 6.149286e-02 8.445600e-02 1.024821e-01 1.131705e-01 1.211642e-01 1.247346e-01 1.596694e-01 1.833534e-01 2.015792e-01 2.177190e-01 2.211446e-01 3.010998e-01 3.599831e-01 4.076713e-01 4.435288e-01 4.624247e-01 6.175567e-01 7.604387e-01 9.147450e-01 1.081950e+00 1.278440e+00 1.529999e+00 1.866528e+00 2.367592e+00 3.733727e+00 
