# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0.0035691042 2.5630903e-06 1654 99612 0.99465191 1.0129743 9702.3121 0.23414821 954.72987 -0.64842399 0.25517656 -0.50381644 0 -0.40201049 0 0.0027461069 -0.00051972191 0 0 -0.64842399 0.82307715 48.084622 0.069821963 0.99092198 0.10494471 0 0 873.54307
0.003570357 1.2527441e-06 1655 99612 0.99465152 0.99836692 9810.6334 0.2353984 2725.6875 -0.64835285 0.24775862 -0.49632779 0 -0.40201007 0 0.0027461069 -0.00051972191 0 0 -0.64835285 0.82520566 37.04394 0.079592509 0.99145975 0.11445897 0 0 1127.8103
0.0035718 1.4429822e-06 1656 99612 0.99465108 0.9948992 9429.5598 0.24316583 1767.2263 -0.64836807 0.24606178 -0.49464664 0 -0.40200958 0 0.0027461069 -0.00051972191 0 0 -0.64836807 0.83180134 32.462072 0.083652491 0.97546412 0.12749408 0 0 1359.1074
0.0035726409 8.4090231e-07 1657 99612 0.99465082 0.99930895 9136.0378 0.2523517 2181.5293 -0.64849881 0.24837238 -0.49708828 0 -0.4020093 0 0.0027461069 -0.00051972191 0 0 -0.64849881 0.83422833 30.940746 0.084813182 0.96554618 0.14149162 0 0 1610.391
0.0035736567 1.0158183e-06 1658 99611 0.99460418 0.99561761 9212.0406 0.23694042 2709.459 -0.64840894 0.24645693 -0.49508351 0 -0.40200896 0 0.0027463254 -0.00051972191 0 0 -0.64840894 0.83365612 42.122674 0.074729846 0.99265049 0.11147676 0 0 959.3815
0.0035751247 1.4679744e-06 1659 99610 0.99459386 0.99392036 10577.748 0.24052727 2460.5087 -0.64837986 0.24559369 -0.49419189 0 -0.40200846 0 0.0027465263 -0.00051972191 0 0 -0.64837986 0.83722811 38.303871 0.077648371 0.9835535 0.11437201 0 0 1137.2593
0.0035755202 3.95544e-07 1660 99610 0.99459374 1.0105762 9405.0377 0.24583093 1851.3052 -0.64845706 0.25399184 -0.50266737 0 -0.40200833 0 0.0027465263 -0.00051972191 0 0 -0.64845706 0.82518172 33.902044 0.080909192 0.96417332 0.12966992 0 0 1380.2848
0.0035758945 3.7425447e-07 1661 99610 0.99459362 1.0093862 8701.6375 0.23926641 2396.5248 -0.64851607 0.25344827 -0.50218294 0 -0.4020082 0 0.0027465263 -0.00051972191 0 0 -0.64851607 0.8164532 32.994301 0.082749563 0.97281325 0.12586955 0 0 1266.8285
0.0035771176 1.2231503e-06 1662 99610 0.99459324 1.003786 10596.677 0.23578823 2578.2462 -0.6484849 0.25059423 -0.49929814 0 -0.40200779 0 0.0027465263 -0.00051972191 0 0 -0.6484849 0.83184874 46.041226 0.071247637 0.98943715 0.12359627 0 0 1526.2283
0.0035775536 4.3603389e-07 1663 99610 0.99459311 0.99572189 9265.9018 0.23245938 2723.9191 -0.648444 0.24654461 -0.49520777 0 -0.40200764 0 0.0027465263 -0.00051972191 0 0 -0.648444 0.82785009 40.783926 0.077241175 1.0095729 0.096529997 0 0 663.48845
0.0035787671 1.2134034e-06 1664 99610 0.99459273 0.99484 12472.997 0.23053016 1036.8406 -0.64845702 0.24612343 -0.49480002 0 -0.40200723 0 0.0027465263 -0.00051972191 0 0 -0.64845702 0.83228659 65.688226 0.057821801 0.95913488 0.091021287 0 0 767.74407
0.0035795699 8.0283669e-07 1665 99610 0.99459248 1.0016975 11763.112 0.23224732 2712.9937 -0.64843348 0.24949895 -0.49815227 0 -0.40200696 0 0.0027465263 -0.00051972191 0 0 -0.64843348 0.8233266 57.828048 0.062912146 0.97914738 0.087395082 0 0 626.80302
0.0035804038 8.3386156e-07 1666 99610 0.99459222 1.0013722 12549.35 0.23441535 2736.3266 -0.64853716 0.2494409 -0.49819819 0 -0.40200668 0 0.0027465263 -0.00051972191 0 0 -0.64853716 0.83514298 51.303989 0.069496599 1.0187871 0.090550281 0 0 723.32341
0.0035817497 1.3459205e-06 1667 99608 0.99458638 1.0019827 11912.301 0.23534386 509.3741 -0.64851216 0.24971952 -0.49845078 0 -0.40200779 0 0.0027466121 -0.00051972191 0 0 -0.64851216 0.83495967 55.381795 0.065673663 1.0002742 0.09149093 0 0 699.87613
0.0035826972 9.4757211e-07 1668 99607 0.99457439 1.0085899 10163.688 0.23263589 1637.2469 -0.64848821 0.25301747 -0.50172518 0 -0.40200747 0 0.0027466975 -0.00051972191 0 0 -0.64848821 0.81591742 45.929107 0.070741743 0.98121474 0.095790096 0 0 709.55
0.0035832816 5.8431471e-07 1669 99606 0.9941178 1.0051382 9178.1825 0.23817754 676.03851 -0.64849804 0.25028666 -0.49801442 0 -0.40323454 0 0.0029839836 -0.00051972191 0 0 -0.64849804 0.82797008 35.374495 0.079999116 0.97381086 0.11216513 0 0 958.579
0.00358376 4.784329e-07 1670 99606 0.99411766 1.0018721 9119.4804 0.24073687 2622.0029 -0.64845796 0.24861699 -0.49630484 0 -0.40323437 0 0.0029839836 -0.00051972191 0 0 -0.64845796 0.8314022 37.1292 0.076393935 0.95271057 0.11587255 0 0 1016.9133
0.0035848805 1.1204838e-06 1671 99606 0.99411731 0.99542265 8953.2739 0.24313867 1599.0574 -0.64845775 0.24543086 -0.49311891 0 -0.40323397 0 0.0029839836 -0.00051972191 0 0 -0.64845775 0.8250496 29.286376 0.087009228 0.96370128 0.12037236 0 0 1086.4259
0.0035852875 4.0702552e-07 1672 99606 0.99411718 0.99831587 11438.035 0.24065853 2217.8222 -0.64844916 0.24684675 -0.49452634 0 -0.40323383 0 0.0029839836 -0.00051972191 0 0 -0.64844916 0.83624958 53.134955 0.066235567 0.98815648 0.097839444 0 0 768.58086
0.003586404 1.1164868e-06 1673 99606 0.99411683 0.99657906 12716.053 0.24343844 2317.514 -0.64839287 0.24593526 -0.49355896 0 -0.40323343 0 0.0029839836 -0.00051972191 0 0 -0.64839287 0.82218388 41.997698 0.072160669 0.95710063 0.11443616 0 0 1320.9144
0.0035872605 8.5653556e-07 1674 99606 0.99411656 1.001552 9419.9183 0.26036752 1454.6967 -0.64843617 0.24843724 -0.49610454 0 -0.40323313 0 0.0029839836 -0.00051972191 0 0 -0.64843617 0.83365642 25.800436 0.091528774 0.95151464 0.14443475 0 0 1608.0582
0.003587441 1.8043359e-07 1675 99606 0.99411651 0.99419082 18438.761 0.24667461 2729.0182 -0.64848708 0.24485681 -0.49257509 0 -0.40323307 0 0.0029839836 -0.00051972191 0 0 -0.64848708 0.84273252 66.679393 0.057243356 0.95667673 0.097798275 0 0 1149.0846
0.0035880453 6.0431047e-07 1676 99606 0.99411632 1.0022213 9267.9438 0.24514 2520.5594 -0.64842981 0.24876392 -0.49642513 0 -0.40323285 0 0.0029839836 -0.00051972191 0 0 -0.64842981 0.83328471 32.569387 0.082931006 0.96864811 0.12369882 0 0 1190.7964
0.0035884216 3.7636929e-07 1677 99606 0.9941162 1.001441 12127.807 0.24552364 1102.6025 -0.64844604 0.24839244 -0.49607002 0 -0.40323272 0 0.0029839836 -0.00051972191 0 0 -0.64844604 0.82791526 40.607701 0.074251942 0.96840344 0.10512022 0 0 951.83366
0.0035894403 1.0186445e-06 1678 99606 0.99411588 0.99434304 8521.1827 0.25010349 1040.3024 -0.6485513 0.24499558 -0.49277879 0 -0.40323236 0 0.0029839836 -0.00051972191 0 0 -0.6485513 0.8363259 26.442325 0.091260003 0.96044966 0.13982471 0 0 1488.992
0.0035902722 8.3194216e-07 1679 99606 0.99411562 1.0032536 9648.3502 0.24499051 2363.9535 -0.64848857 0.249338 -0.49705877 0 -0.40323206 0 0.0029839836 -0.00051972191 0 0 -0.64848857 0.82695017 32.630217 0.083214358 0.97286494 0.12343826 0 0 1234.1122
0.003590649 3.7679451e-07 1680 99606 0.9941155 1.0068436 10877.693 0.23401623 2726.7501 -0.64903518 0.25168902 -0.49995653 0 -0.40323193 0 0.0029839836 -0.00051972191 0 0 -0.64903518 0.8317021 48.941925 0.067586386 0.96770738 0.10190756 0 0 898.29326
0.0035912643 6.1524299e-07 1681 99606 0.99411531 1.0012368 11520.597 0.24264668 2728.3828 -0.64854586 0.24839206 -0.49617047 0 -0.40323171 0 0.0029839836 -0.00051972191 0 0 -0.64854586 0.83223081 40.248096 0.075641136 0.98214365 0.10843327 0 0 1028.11
0.0035921582 8.9389729e-07 1682 99606 0.99411503 0.99277188 11879.543 0.23983822 2010.934 -0.6483864 0.24406531 -0.49168457 0 -0.40323139 0 0.0029839836 -0.00051972191 0 0 -0.6483864 0.83810244 50.26389 0.06671934 0.96810864 0.096440542 0 0 772.36668
0.0035924827 3.2454173e-07 1683 99606 0.99411493 0.99240663 9265.1564 0.25035982 1507.1986 -0.64840964 0.24391008 -0.49155271 0 -0.40323128 0 0.0029839836 -0.00051972191 0 0 -0.64840964 0.82819821 27.900194 0.088725555 0.95917234 0.13558267 0 0 1471.5379
0.003593285 8.0233275e-07 1684 99606 0.99411468 0.99764664 9260.5772 0.25579522 2671.9665 -0.64886471 0.24693299 -0.49503097 0 -0.40323099 0 0.0029839836 -0.00051972191 0 0 -0.64886471 0.82783776 27.370835 0.088039124 0.94267945 0.13310009 0 0 1304.6554
0.0035945421 1.2570645e-06 1685 99606 0.99411428 1.0034569 22406.138 0.22689024 1851.521 -0.64842632 0.24937823 -0.49703827 0 -0.40323055 0 0.0029839836 -0.00051972191 0 0 -0.64842632 0.82474799 150.57708 0.039727455 0.99773335 0.054923823 0 0 317.83508
0.0035950211 4.7900819e-07 1686 99606 0.99411413 0.99777185 8023.3197 0.24672265 1296.8113 -0.64845091 0.24658349 -0.49426828 0 -0.40323038 0 0.0029839836 -0.00051972191 0 0 -0.64845091 0.83285091 30.323138 0.084294705 0.95001763 0.12721246 0 0 1099.8056
